essay_set,cluster,topic,topic_tfidf,FAST
1,0.4039950355559838,0.6307982379621027,0.41959260251943176,0.42026266416510316
2,0.4835808876163207,0.4221098783106657,0.4580814045971527,0.4243915533285612
3,0.444,0.45871523110596113,0.43820079824900227,0.39963259945925067
4,0.4298936405134053,0.9823646734850479,0.4106725513269224,0.45457790469391396
5,0.35677053589738567,0.4694019263868579,0.49982096499865725,0.41947652843693267
6,0.6944444444444444,0.9771774834963811,0.49986578382247676,0.7132885946074923
7,0.46997457701411416,0.4237547326921183,0.9508955482983372,0.4221210763486891
8,0.4219912158582779,0.6124887246401056,0.3606442275857811,0.42907859299763323
